Source 	RA 	Dec 	Name 	V opt 	g−z 	M g 	M ⋆ 	sSFR 	rms 	V HI 	W 50 	W 20 	F HI 	SNR 	S / N 	M HI 	MHI/M⋆	
0023 	00 10 25.50 	14 17 23.00 	KUG 0007+140 	5452 ± 4 	0.93 	−18.81 	9.50 	−10.17 	0.45 	5456 ± 3 	189 	208 	0.60 ± 0.06 	8.4 	15.4 	8.93 	−0.57
0037M 	00 15 05.40 	15 03 59.70 	2MASX J00150533+1503597 	5428 ± 2 	1.37 	−19.15 	10.00 	−10.55 	0.53 	5436 ± 20 	81 	164 	0.30 ± 0.07 	6.0 	10.2 	8.63 	−1.37
0038 	00 15 29.70 	14 43 37.20 	ASK 147494 	5432 ± 3 	0.39 	−16.55 	8.21 	−9.54 	0.17 	5445 ± 3 	65 	76 	0.04 ± 0.01 	4.9 	4.7 	7.77 	−0.44
0297 	02 00 03.80 	14 07 12.90 	ASK 43581 	4860 ± 2 	0.39 	−16.52 	6.14 	−8.70 	0.57 	4860 ± 2 	120 	139 	0.66 ± 0.06 	10.8 	16.9 	8.87 	2.73
0329M 	02 50 52.00 	00 00 12.10 	ASK 037212 	1587 ± 2 	0.24 	−14.16 	7.19 	−9.59 	0.17 	1579 ± 1 	26 	41 	0.07 ± 0.01 	12.2 	12.4 	6.91 	−0.27
0340 	03 01 11.90 	00 18 10.50 	PGC 1162351 	2779 ± 2 	0.61 	−15.67 	7.94 	−9.52 	0.54 	2793 ± 10 	34 	92 	0.21 ± 0.05 	8.0 	10.7 	7.90 	−0.05
0349M 	03 07 15.65 	00 43 52.00 	ASK 37834 	3011 ± 1 	0.47 	−15.60 	7.74 	−9.43 	0.58 	3030 ± 3 	79 	100 	0.49 ± 0.06 	10.2 	15.4 	8.33 	0.59
0475 	07 35 24.20 	36 38 36.40 	ASK 44962 	3902 ± 1 	0.42 	−16.86 	8.23 	−9.48 	0.81 	3887 ± 8 	86 	141 	0.79 ± 0.09 	9.9 	17.1 	8.76 	0.53
0562 	07 59 16.20 	23 50 58.10 	ASK 265000 	2231 ± 2 	0.69 	−14.88 	7.73 	−9.96 	0.40 	2242 ± 7 	49 	72 	0.08 ± 0.03 	4.5 	4.4 	7.26 	−0.47
0575 	08 01 32.20 	21 22 47.80 	ASK 363277 	2104 ± 3 	0.56 	−15.63 	7.86 	−9.52 	0.50 	2103 ± 3 	47 	78 	0.46 ± 0.04 	13.6 	21.8 	7.99 	0.13
0602 	08 15 38.03 	21 15 37.20 	ASK 483519 	3476 ± 1 	0.45 	−16.28 	7.94 	−9.31 	0.51 	3487 ± 12 	56 	140 	0.45 ± 0.06 	9.8 	19.1 	8.42 	0.48
0609 	08 17 21.00 	24 57 45.60 	KUG 0814+251 	2074 ± 4 	0.61 	−15.55 	7.91 	−9.58 	0.36 	2062 ± 7 	88 	131 	0.29 ± 0.04 	8.4 	14.0 	7.77 	−0.13
0645 	08 23 41.00 	20 41 48.50 	ASK 522849 	2011 ± 10 	0.67 	−14.19 	7.49 	−9.75 	0.45 	2024 ± 8 	43 	70 	0.10 ± 0.04 	5.0 	5.3 	7.28 	−0.21
0689 	08 36 41.10 	05 16 24.00 	ASK 259050 	3127 ± 1 	0.20 	−15.72 	7.54 	−8.93 	0.46 	3126 ± 5 	55 	90 	0.28 ± 0.04 	9.5 	13.3 	8.12 	0.58
0708M 	08 42 25.80 	06 35 38.60 	ASK 259104 	2260 ± 1 	0.33 	−15.48 	7.60 	−9.28 	0.54 	2254 ± 4 	50 	85 	0.47 ± 0.05 	12.4 	19.8 	8.06 	0.46
0719 	08 44 42.70 	29 32 43.00 	ASK 281794 	2116 ± 2 	0.40 	−14.49 	7.26 	−9.29 	0.50 	2135 ± 8 	69 	109 	0.21 ± 0.05 	7.0 	8.2 	7.66 	0.40
0724 	08 45 25.40 	15 19 46.00 	PGC 4176159 	1614 ± 8 	0.02 	−13.43 	7.30 	−10.72 	0.36 	1598 ± 7 	35 	72 	0.10 ± 0.03 	7.0 	7.9 	7.11 	−0.19
0751 	08 50 25.19 	32 37 18.80 	ASK 266943 	2221 ± 1 	0.56 	−14.82 	7.21 	−9.37 	0.52 	2219 ± 5 	44 	63 	0.10 ± 0.04 	4.9 	4.9 	7.39 	0.18
0801M 	09 08 52.55 	21 55 29.70 	2MASX J09085253+2155292 	3849 ± 1 	0.66 	−17.03 	8.51 	−9.63 	0.59 	3851 ± 3 	51 	77 	0.36 ± 0.05 	10.0 	13.8 	8.41 	−0.10
0828 	09 14 57.30 	06 00 18.60 	ASK 261057 	1370 ± 29 	0.64 	−14.37 	− 	− 	0.32 	1370 ± 8 	28 	54 	0.04 ± 0.02 	4.6 	4.3 	6.60 	−
